"experiences_offered","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","weekly_price","monthly_price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","availability_30","availability_60","availability_90","availability_365","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","requires_license","instant_bookable","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","calculated_host_listings_count","reviews_per_month"
"none","within an hour",1,1,"f","t","f","Roslindale","t","House","Entire home/apt",4,"1.5","2",3,"Real Bed",250,1000,3500,100,35,1,0,2,1125,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","moderate","f","f",1,1.97090844821492
"none","within an hour",1,1,"f","t","t","Roslindale","t","Apartment","Private room",2,"1","1",1,"Real Bed",65,400,3500,95,10,0,0,2,15,26,54,84,359,36,94,10,9,10,10,9,9,"f","t","moderate","f","f",1,1.3
"none","within a few hours",1,0.88,"t","t","t","Roslindale","t","Apartment","Private room",2,"1","1",1,"Real Bed",65,395,1350,100,100,1,20,3,45,19,46,61,319,41,98,10,9,10,10,9,10,"f","f","moderate","t","f",1,0.47
"none","within a few hours",1,0.5,"f","t","f","Roslindale","f","House","Private room",4,"1","1",2,"Real Bed",75,1000,3500,100,50,2,25,1,1125,6,16,26,98,1,100,10,10,10,10,10,10,"f","f","moderate","f","f",1,1
"none","within an hour",1,1,"t","t","t","Roslindale","t","House","Private room",2,"1.5","1",2,"Real Bed",79,1000,3500,100,15,1,0,2,31,13,34,59,334,29,99,10,10,10,10,9,10,"f","f","flexible","f","f",1,2.25
"none","within a few hours",1,0.95,"t","t","t","Roslindale","t","Condominium","Private room",2,"1","1",1,"Real Bed",75,1000,3500,100,30,1,0,2,1125,5,28,58,58,8,100,10,10,10,10,9,10,"f","f","flexible","f","f",1,1.7
"none","within an hour",0.98,0.96,"f","t","t","Roslindale","f","Apartment","Entire home/apt",3,"1","1",2,"Real Bed",100,1000,3500,100,100,1,25,1,1125,22,39,69,344,57,90,10,10,10,10,9,9,"f","f","strict","f","f",3,4
"none","within a few hours",1,1,"t","t","t","Roslindale","t","House","Private room",2,"2","1",1,"Real Bed",75,1000,3500,100,10,1,15,1,1125,30,60,90,365,67,96,10,10,10,10,10,10,"f","f","moderate","t","t",2,2.38
"none","within an hour",1,1,"t","t","t","Roslindale","t","Condominium","Private room",2,"1","1",2,"Real Bed",58,1000,3500,100,100,2,0,2,1125,12,42,72,347,65,96,10,10,10,10,9,10,"f","f","moderate","f","f",1,5.36
"none","within an hour",1,1,"t","t","t","Roslindale","t","Apartment","Entire home/apt",5,"1","2",2,"Real Bed",229,1000,3500,200,50,4,25,4,10,20,50,80,107,33,94,10,9,10,10,9,9,"f","f","strict","f","f",2,1.01
"none","within a day",0.83,1,"f","t","f","Roslindale","t","House","Private room",2,"1","1",1,"Real Bed",60,1000,3500,100,30,1,10,1,1125,16,38,68,343,1,80,10,8,8,10,10,10,"f","f","flexible","f","f",1,0.36
